Feature,Mean,Std
gama,18.826923076923077,1.144244735201277
hw,6.877528490028495,5.259952452558785
sds,1.2090455840455803,0.3802268155689527
H,6.998575498575499,2.0099533423302223
fi,30.552706552706553,6.975524858590609
q,10.242165242165242,7.069437892451405
X5,0.8376994301994295,0.3733404420160253
v2,3.89279202279202,1.833638763677231
x1,1.3546866096866077,0.6986131063406009
X8,2.0933119658119677,1.6837986742212703
X2,1.8321367521367513,0.9825081689364189
X7,1.0676210826210843,0.7299017471718753
X1,3.120690854038535,1.0779348247525724
X6,5.798896011396005,2.439151989865194
s1,50.4423504273504,57.6315747338501
X4,0.37688746438746645,0.08003695787169275
X3,0.45085467170234833,0.09944259722632107
c,17.72792022792023,15.77758963401411
